rule_id,match_type,match_value,facility_id,share,confidence,valid_from,valid_to,source_doc_id,note_ja
R_KEN_FUJISAWA,city_exact,藤沢市,FAC_KEN_SAGAMIKEI,1.0,medium,2026-04-01,,DOC_KEN_NENPO_R4,給水区域は全域（DOC_KEN_KYUSUIKUIKI）。主要配水系統図（DOC_KEN_NENPO_R4 p41）で藤沢市内の配水池（二本松・大庭赤羽根・藤沢・稲荷・片瀬・腰越）は寒川浄水場東系、葛原と稲荷（企）調整池は企業団綾瀬浄水場系。どちらも原水は相模川100%で酒匂川系（企業団の伊勢原・相模原）は入らない
R_KEN_KAMAKURA,city_exact,鎌倉市,FAC_KEN_SAGAMIKEI,1.0,medium,2026-04-01,,DOC_KEN_NENPO_R4,給水区域は全域。主要配水系統図（p41）で鎌倉市内の配水池（岡本・城廻・北鎌倉高区・山ノ内・長谷・鎌倉山高区・七里ヶ浜低区・佐助・名越・浄明寺）は寒川浄水場東系、給水地域「鎌倉市内」は企業団綾瀬浄水場系（大船受水地点）。どちらも相模川100%。水質検査計画の給水栓検査地点も鎌倉市津＝寒川浄水場系・鎌倉市今泉＝寒川綾瀬混合系で一致（DOC_KEN_WEP_R8 p8）
R_KEN_ZUSHI,city_exact,逗子市,FAC_KEN_SAGAMIKEI,1.0,medium,2026-04-01,,DOC_KEN_NENPO_R4,給水区域は全域。主要配水系統図（p41）で逗子市内の配水池（逗子・桜山低区高区・沼間・披露山・久木低区高区）は寒川浄水場東系、久木受水地点は企業団綾瀬浄水場系。どちらも相模川100%。給水栓検査地点は逗子市沼間＝綾瀬浄水場系（DOC_KEN_WEP_R8 p8）
R_KEN_CHIGASAKI,city_exact,茅ヶ崎市,FAC_KEN_SAGAMIKEI,1.0,low,2026-04-01,,DOC_KEN_NENPO_R4,給水区域は全域。主要配水系統図（p41）で芹沢・茅ヶ崎配水池は寒川浄水場東系、給水地域「茅ヶ崎市内」は寒川浄水場西系の湘南西配水本管。どちらも相模川100%。ただし同じ湘南西配水本管に給水地域「平塚市内」が並んでおり平塚市内へは企業団伊勢原浄水場（南金目受水地点）の水も入るため、茅ヶ崎市へ酒匂川系が回り込む可能性を否定できない。よって low
R_KEN_SAMUKAWA,city_exact,寒川町,FAC_KEN_SAGAMIKEI,1.0,low,2026-04-01,,DOC_KEN_NENPO_R4,給水区域は全域。寒川浄水場が寒川町宮山にあり湘南東系・湘南西系ともここから出る（p41）ので原水は相模川100%とみられる。ただし主要配水系統図に「寒川町内」の給水地域が描かれておらず、町内の配水がどの系統かを名指しした資料が見つからなかったため low
R_KEN_SAGAMIHARA_CHUO,city_exact,相模原市中央区,FAC_KEN_SAGAMIHARA,1.0,low,2026-04-01,,DOC_KEN_NENPO_R4,給水区域は「相模原市（緑区の一部を除く全域）」（DOC_KEN_WEP_R8 p2）で中央区は全域。水源の顔ぶれは谷ケ原浄水場（相模川）と企業団相模原浄水場（酒匂川＋相模川）の2つで確定しているが混合比は非公表なので junction への流入辺を basis=unknown にしてある。市内のどの系統がどの町丁目に来るかまでは分からないので confidence は low
R_KEN_SAGAMIHARA_MINAMI,city_exact,相模原市南区,FAC_KEN_SAGAMIHARA,1.0,low,2026-04-01,,DOC_KEN_NENPO_R4,同上。南区は「相模原南水道営業所 相模原市南区全域」（DOC_KEN_KUIKI_SAGAMIHARA）。主要配水系統図 p41 では南区内の麻溝台・当麻・上鶴間の各受水地点（企業団相模原浄水場）から給水地域「相模原市内」が出ている。谷ケ原浄水場の水が南区まで届くかを名指しした資料は無いが、企業団相模原浄水場だけでも水源は酒匂川＋相模川なので表示される水源の顔ぶれは変わらない。confidence は low
R_KEN_HIRATSUKA,city_exact,平塚市,FAC_KEN_HIRATSUKA,1.0,low,2026-04-01,,DOC_KEN_NENPO_R4,給水区域は「全域（土屋のうち字遠藤原を除く）」（DOC_KEN_KYUSUIKUIKI）。字遠藤原は e-Stat の町丁目「平塚市 土屋」（142030901・2672人）の中の小字で町丁目に落ちないので土屋を含む全域ルールにした。水源の顔ぶれは寒川浄水場（西系）と企業団伊勢原浄水場の2つで確定しているが混合比は非公表。confidence は low
R_KEN_ATSUGI,city_exact,厚木市,FAC_KEN_ATSUGI,1.0,low,2026-04-01,,DOC_KEN_WEP_R8,給水区域は全域（DOC_KEN_KYUSUIKUIKI）。水源の顔ぶれは寒川浄水場（西系）・谷ケ原浄水場・企業団伊勢原浄水場・企業団相模原浄水場の4つ。給水栓検査地点が「厚木市 上荻野＝谷ケ原・伊勢原・相模原浄水場混合系」「厚木市 旭町＝寒川浄水場系」（p8）と名指ししている。混合比は非公表。confidence は low
R_KEN_YAMATO,city_exact,大和市,FAC_KEN_YAMATO,1.0,low,2026-04-01,,DOC_KEN_WEP_R8,給水区域は全域（DOC_KEN_KYUSUIKUIKI）。水源の顔ぶれは企業団相模原浄水場と企業団綾瀬浄水場の2つ。給水栓検査地点「大和市 深見＝綾瀬・相模原浄水場混合系」（p8）。混合比は非公表。confidence は low
